plot_id,species,value,rel_cover_stratum,stratum,stratum_cover,association
0,cornus sericea ssp. sericea,30,93.75,shrub,32,Populus angustifolia / Cornus sericea Riparian Woodland
0,populus angustifolia,25,45.45,tree,55,Populus angustifolia / Cornus sericea Riparian Woodland
0,mesic shrub,17,53.125,tree,,Populus angustifolia / Cornus sericea Riparian Woodland
0,pseudotsuga menziesii var. glauca,15,27.27,tree,55,Populus angustifolia / Cornus sericea Riparian Woodland
0,picea pungens,10,18.18,tree,55,Populus angustifolia / Cornus sericea Riparian Woodland
0,betula occidentalis,5,9.09,tree,55,Populus angustifolia / Cornus sericea Riparian Woodland
0,alnus incana ssp. tenuifolia,2,6.25,shrub,32,Populus angustifolia / Cornus sericea Riparian Woodland
1,mesic shrub,50,71.43,tree,,Populus angustifolia / Alnus incana Riparian Woodland
1,alnus incana ssp. tenuifolia,40,57.14,shrub,70,Populus angustifolia / Alnus incana Riparian Woodland
1,cornus sericea ssp. sericea,30,42.86,shrub,70,Populus angustifolia / Alnus incana Riparian Woodland
1,populus angustifolia,20,86.96,tree,23,Populus angustifolia / Alnus incana Riparian Woodland
1,picea pungens,3,13.04,tree,23,Populus angustifolia / Alnus incana Riparian Woodland
3,populus tremuloides,40,37.74,tree,106,Populus tremuloides / Betula occidentalis Riparian Forest
3,betula occidentalis,36,33.96,tree,106,Populus tremuloides / Betula occidentalis Riparian Forest
3,abies lasiocarpa,10,9.43,tree,106,Populus tremuloides / Betula occidentalis Riparian Forest
3,acer glabrum var. glabrum,10,9.43,tree,106,Populus tremuloides / Betula occidentalis Riparian Forest
3,pseudotsuga menziesii var. glauca,10,9.43,tree,106,Populus tremuloides / Betula occidentalis Riparian Forest
4,carex pellita,57,100,herbaceous,57,Carex pellita Wet Meadow
4,carex spp.,57,100,herbaceous,,Carex pellita Wet Meadow
4,salix amygdaloides,36,100,tree,36,Carex pellita Wet Meadow
4,mesic graminoid,28.5,50,herbaceous,,Carex pellita Wet Meadow
5,pinus ponderosa var. scopulorum,25,52.08,tree,48,Pinus ponderosa / Alnus incana Riparian Woodland
5,alnus incana ssp. tenuifolia,16,29.63,shrub,54,Pinus ponderosa / Alnus incana Riparian Woodland
5,prunus virginiana var. melanocarpa,12,25,tree,48,Pinus ponderosa / Alnus incana Riparian Woodland
5,pseudotsuga menziesii var. glauca,11,22.92,tree,48,Pinus ponderosa / Alnus incana Riparian Woodland
5,mesic shrub,8,14.815,tree,,Pinus ponderosa / Alnus incana Riparian Woodland
6,mesic graminoid,130.5,83.92,shrub,,Salix exigua / Mesic Graminoids Western Wet Shrubland
6,carex spp.,55,35.37,shrub,,Salix exigua / Mesic Graminoids Western Wet Shrubland
6,carex nebrascensis,40,25.72,herbaceous,155.5,Salix exigua / Mesic Graminoids Western Wet Shrubland
6,juncus arcticus var. balticus,30,19.29,herbaceous,155.5,Salix exigua / Mesic Graminoids Western Wet Shrubland
6,juncus spp.,30,19.29,shrub,,Salix exigua / Mesic Graminoids Western Wet Shrubland
6,schoenoplectus pungens,25,16.08,herbaceous,155.5,Salix exigua / Mesic Graminoids Western Wet Shrubland
6,agrostis gigantea,20,12.86,herbaceous,155.5,Salix exigua / Mesic Graminoids Western Wet Shrubland
6,carex praegracilis,15,9.65,herbaceous,155.5,Salix exigua / Mesic Graminoids Western Wet Shrubland
6,distichlis stricta,10,6.43,herbaceous,155.5,Salix exigua / Mesic Graminoids Western Wet Shrubland
6,eleocharis palustris,5.5,3.54,herbaceous,155.5,Salix exigua / Mesic Graminoids Western Wet Shrubland
6,eleocharis spp.,5.5,3.54,shrub,,Salix exigua / Mesic Graminoids Western Wet Shrubland
6,mesic forb,4,2.565,shrub,,Salix exigua / Mesic Graminoids Western Wet Shrubland
6,erythranthe spp.,2,1.29,shrub,,Salix exigua / Mesic Graminoids Western Wet Shrubland
6,schoenoplectus acutus,2,1.29,herbaceous,155.5,Salix exigua / Mesic Graminoids Western Wet Shrubland
6,salix exigua,1,100,shrub,1,Salix exigua / Mesic Graminoids Western Wet Shrubland
6,cirsium arvense,0.5,0.32,herbaceous,155.5,Salix exigua / Mesic Graminoids Western Wet Shrubland
6,elymus canadensis,0.5,0.32,herbaceous,155.5,Salix exigua / Mesic Graminoids Western Wet Shrubland
6,mentha arvensis,0.5,0.32,herbaceous,155.5,Salix exigua / Mesic Graminoids Western Wet Shrubland
6,mesic shrub,0.5,50,shrub,,Salix exigua / Mesic Graminoids Western Wet Shrubland
6,muhlenbergia asperifolia,0.5,0.32,herbaceous,155.5,Salix exigua / Mesic Graminoids Western Wet Shrubland
6,panicum virgatum,0.5,0.32,herbaceous,155.5,Salix exigua / Mesic Graminoids Western Wet Shrubland
6,spartina pectinata,0.5,0.32,herbaceous,155.5,Salix exigua / Mesic Graminoids Western Wet Shrubland
7,populus angustifolia,44.3,72.62,tree,61,Populus angustifolia Sand Dune Riparian Forest
7,pinus ponderosa var. scopulorum,15,24.59,tree,61,Populus angustifolia Sand Dune Riparian Forest
8,salix monticola,41,55.41,shrub,74,Salix monticola / Calamagrostis canadensis Wet Shrubland
8,mesic shrub,36.5,49.325,shrub,,Salix monticola / Calamagrostis canadensis Wet Shrubland
8,salix wolfii var. wolfii,16,21.62,shrub,74,Salix monticola / Calamagrostis canadensis Wet Shrubland
8,calamagrostis canadensis,15,55.56,herbaceous,27,Salix monticola / Calamagrostis canadensis Wet Shrubland
8,taraxacum officinale,12,44.44,herbaceous,27,Salix monticola / Calamagrostis canadensis Wet Shrubland
8,mesic graminoid,7.5,27.78,shrub,,Salix monticola / Calamagrostis canadensis Wet Shrubland
8,mesic forb,6,22.22,shrub,,Salix monticola / Calamagrostis canadensis Wet Shrubland
9,salix drummondiana,80,80,shrub,100,Salix drummondiana / Calamagrostis canadensis Wet Shrubland
9,mesic shrub,60,60,shrub,,Salix drummondiana / Calamagrostis canadensis Wet Shrubland
9,salix boothii,20,20,shrub,100,Salix drummondiana / Calamagrostis canadensis Wet Shrubland
11,mesic shrub,35,87.5,shrub,,Muhlenbergia montana - Hesperostipa comata Grassland
11,acer negundo,30,75,tree,40,Muhlenbergia montana - Hesperostipa comata Grassland
11,populus angustifolia,10,25,tree,40,Muhlenbergia montana - Hesperostipa comata Grassland
11,quercus gambelii,10,25,shrub,40,Muhlenbergia montana - Hesperostipa comata Grassland
11,rhus trilobata,10,25,shrub,40,Muhlenbergia montana - Hesperostipa comata Grassland
11,mesic graminoid,5,50,shrub,,Muhlenbergia montana - Hesperostipa comata Grassland
13,mesic shrub,40,66.675,shrub,,Salix boothii / Carex utriculata Wet Shrubland
13,salix boothii,40,66.67,shrub,60,Salix boothii / Carex utriculata Wet Shrubland
13,betula glandulosa,10,16.67,shrub,60,Salix boothii / Carex utriculata Wet Shrubland
13,carex spp.,10,100,shrub,,Salix boothii / Carex utriculata Wet Shrubland
13,carex utriculata,10,100,herbaceous,10,Salix boothii / Carex utriculata Wet Shrubland
13,salix wolfii var. wolfii,10,16.67,shrub,60,Salix boothii / Carex utriculata Wet Shrubland
13,mesic graminoid,5,50,shrub,,Salix boothii / Carex utriculata Wet Shrubland
15,shepherdia argentea,30,100,shrub,30,Pinus edulis - Juniperus osteosperma / Mixed Shrubs Talus Woodland
15,mesic shrub,15,50,shrub,,Pinus edulis - Juniperus osteosperma / Mixed Shrubs Talus Woodland
16,eleocharis palustris,13.6,51.52,herbaceous,26.4,Eleocharis palustris Marsh
16,eleocharis spp.,13.6,51.52,herbaceous,,Eleocharis palustris Marsh
16,melilotus officinalis,12.8,48.48,herbaceous,26.4,Eleocharis palustris Marsh
16,mesic graminoid,6.8,25.76,herbaceous,,Eleocharis palustris Marsh
16,mesic forb,6.4,24.24,herbaceous,,Eleocharis palustris Marsh
17,mesic graminoid,50,50,herbaceous,,Bouteloua gracilis - Bouteloua dactyloides Grassland
18,mesic graminoid,42,41.585,herbaceous,,Panicum obtusum - Bouteloua dactyloides Playa Grassland
18,mesic forb,6.5,6.435,herbaceous,,Panicum obtusum - Bouteloua dactyloides Playa Grassland
18,carex spp.,1,0.99,herbaceous,,Panicum obtusum - Bouteloua dactyloides Playa Grassland
19,carex spp.,64,54.23,shrub,,Alnus incana / Mesic Graminoids Wet Shrubland
19,mesic graminoid,62,52.54,shrub,,Alnus incana / Mesic Graminoids Wet Shrubland
19,alnus incana ssp. tenuifolia,53,100,shrub,53,Alnus incana / Mesic Graminoids Wet Shrubland
19,mesic forb,32.5,27.545,shrub,,Alnus incana / Mesic Graminoids Wet Shrubland
19,mesic shrub,26.5,50,shrub,,Alnus incana / Mesic Graminoids Wet Shrubland
19,ligusticum porteri,17,14.41,herbaceous,118,Alnus incana / Mesic Graminoids Wet Shrubland
19,calamagrostis canadensis,13,11.02,herbaceous,118,Alnus incana / Mesic Graminoids Wet Shrubland
20,mesic forb,52.5,86.065,tree,,Salix drummondiana / Mesic Forbs Wet Shrubland
20,salix drummondiana,43,100,shrub,43,Salix drummondiana / Mesic Forbs Wet Shrubland
20,mesic shrub,21.5,50,tree,,Salix drummondiana / Mesic Forbs Wet Shrubland
20,picea engelmannii var. engelmannii,21,80.77,tree,26,Salix drummondiana / Mesic Forbs Wet Shrubland
20,micranthes odontoloma,17,27.87,herbaceous,61,Salix drummondiana / Mesic Forbs Wet Shrubland
20,cardamine cordifolia,15,24.59,herbaceous,61,Salix drummondiana / Mesic Forbs Wet Shrubland
20,equisetum arvense,14,22.95,herbaceous,61,Salix drummondiana / Mesic Forbs Wet Shrubland
21,sporobolus airoides,40,66.67,herbaceous,60,Sarcobatus vermiculatus / Sporobolus airoides Wet Shrubland
21,mesic graminoid,35,58.335,shrub,,Sarcobatus vermiculatus / Sporobolus airoides Wet Shrubland
21,sarcobatus vermiculatus,35,77.78,shrub,45,Sarcobatus vermiculatus / Sporobolus airoides Wet Shrubland
21,mesic shrub,17.5,38.89,shrub,,Sarcobatus vermiculatus / Sporobolus airoides Wet Shrubland
21,distichlis stricta,15,25,herbaceous,60,Sarcobatus vermiculatus / Sporobolus airoides Wet Shrubland
21,mesic forb,2.5,4.165,shrub,,Sarcobatus vermiculatus / Sporobolus airoides Wet Shrubland
22,salix planifolia,66.66,86.96,shrub,76.66,Picea engelmannii / Caltha leptosepala Swamp
22,mesic shrub,43.33,56.52,tree,,Picea engelmannii / Caltha leptosepala Swamp
22,caltha chionophila,40,66.67,herbaceous,60,Picea engelmannii / Caltha leptosepala Swamp
22,mesic forb,40,66.675,tree,,Picea engelmannii / Caltha leptosepala Swamp
22,picea engelmannii var. engelmannii,12,100,tree,12,Picea engelmannii / Caltha leptosepala Swamp
22,cornus sericea ssp. sericea,10,13.04,shrub,76.66,Picea engelmannii / Caltha leptosepala Swamp
22,oxypolis fendleri,10,16.67,herbaceous,60,Picea engelmannii / Caltha leptosepala Swamp
22,senecio triangularis,10,16.67,herbaceous,60,Picea engelmannii / Caltha leptosepala Swamp
23,alnus incana ssp. tenuifolia,70,77.78,shrub,90,Populus angustifolia / Alnus incana Riparian Woodland
23,mesic shrub,55,61.11,tree,,Populus angustifolia / Alnus incana Riparian Woodland
23,populus angustifolia,30,100,tree,30,Populus angustifolia / Alnus incana Riparian Woodland
23,rubus idaeus ssp. strigosus,20,66.67,herbaceous,30,Populus angustifolia / Alnus incana Riparian Woodland
23,carex spp.,10,33.33,tree,,Populus angustifolia / Alnus incana Riparian Woodland
23,ribes inerme,10,11.11,shrub,90,Populus angustifolia / Alnus incana Riparian Woodland
23,salix drummondiana,10,11.11,shrub,90,Populus angustifolia / Alnus incana Riparian Woodland
23,mesic graminoid,5,16.665,tree,,Populus angustifolia / Alnus incana Riparian Woodland
24,alnus incana ssp. tenuifolia,60,85.71,shrub,70,Picea pungens / Alnus incana Riparian Woodland
24,mesic shrub,40,57.145,tree,,Picea pungens / Alnus incana Riparian Woodland
24,abies lasiocarpa,11,52.38,tree,21,Picea pungens / Alnus incana Riparian Woodland
24,lonicera involucrata,10,14.29,shrub,70,Picea pungens / Alnus incana Riparian Woodland
24,picea pungens,10,47.62,tree,21,Picea pungens / Alnus incana Riparian Woodland
25,distichlis stricta,80,96.39,herbaceous,83,Distichlis spicata Alkaline Wet Meadow
25,mesic graminoid,43,51.805,herbaceous,,Distichlis spicata Alkaline Wet Meadow
26,populus angustifolia,65,57.02,tree,114,Populus angustifolia / Alnus incana Riparian Woodland
26,alnus incana ssp. tenuifolia,59,71.95,shrub,82,Populus angustifolia / Alnus incana Riparian Woodland
26,betula occidentalis,49,42.98,tree,114,Populus angustifolia / Alnus incana Riparian Woodland
26,mesic shrub,29.5,35.975,tree,,Populus angustifolia / Alnus incana Riparian Woodland
27,salix boothii,50,100,shrub,50,Salix boothii / Mesic Graminoids Wet Shrubland
27,mesic graminoid,30,75,shrub,,Salix boothii / Mesic Graminoids Wet Shrubland
27,mesic shrub,25,50,shrub,,Salix boothii / Mesic Graminoids Wet Shrubland
27,phleum pratense,20,50,herbaceous,40,Salix boothii / Mesic Graminoids Wet Shrubland
27,agrostis gigantea,10,25,herbaceous,40,Salix boothii / Mesic Graminoids Wet Shrubland
27,poa palustris,10,25,herbaceous,40,Salix boothii / Mesic Graminoids Wet Shrubland
28,salix exigua,42,46.67,shrub,90,Betula occidentalis / Maianthemum stellatum Wet Shrubland
28,maianthemum stellatum,37,77.08,herbaceous,48,Betula occidentalis / Maianthemum stellatum Wet Shrubland
28,mesic shrub,31,34.445,shrub,,Betula occidentalis / Maianthemum stellatum Wet Shrubland
28,mesic forb,18.5,38.54,shrub,,Betula occidentalis / Maianthemum stellatum Wet Shrubland
28,betula occidentalis,12,100,tree,12,Betula occidentalis / Maianthemum stellatum Wet Shrubland
28,calamagrostis stricta,11,22.92,herbaceous,48,Betula occidentalis / Maianthemum stellatum Wet Shrubland
28,cornus sericea ssp. sericea,10,11.11,shrub,90,Betula occidentalis / Maianthemum stellatum Wet Shrubland
28,mesic graminoid,5.5,11.46,shrub,,Betula occidentalis / Maianthemum stellatum Wet Shrubland
29,salix exigua,85,86.73,shrub,98,Salix exigua / Mesic Graminoids Western Wet Shrubland
29,mesic shrub,42.5,43.365,shrub,,Salix exigua / Mesic Graminoids Western Wet Shrubland
29,bromus tectorum,10,100,herbaceous,10,Salix exigua / Mesic Graminoids Western Wet Shrubland
29,mesic graminoid,5,50,shrub,,Salix exigua / Mesic Graminoids Western Wet Shrubland
30,betula occidentalis,20,50,tree,40,Populus angustifolia / Betula occidentalis Riparian Woodland
30,populus angustifolia,20,50,tree,40,Populus angustifolia / Betula occidentalis Riparian Woodland
30,mesic shrub,15,30,tree,,Populus angustifolia / Betula occidentalis Riparian Woodland
30,clematis ligusticifolia,10,100,herbaceous,10,Populus angustifolia / Betula occidentalis Riparian Woodland
30,crataegus rivularis,10,20,shrub,50,Populus angustifolia / Betula occidentalis Riparian Woodland
30,rhus trilobata,10,20,shrub,50,Populus angustifolia / Betula occidentalis Riparian Woodland
31,populus angustifolia,100,63.69,tree,157,Populus angustifolia Sand Dune Riparian Forest
31,abies concolor,35,22.29,tree,157,Populus angustifolia Sand Dune Riparian Forest
31,acer glabrum var. glabrum,22,14.01,tree,157,Populus angustifolia Sand Dune Riparian Forest
31,salix bebbiana,20,55.56,shrub,36,Populus angustifolia Sand Dune Riparian Forest
31,mesic shrub,10,27.78,tree,,Populus angustifolia Sand Dune Riparian Forest
32,mesic shrub,64,69.565,shrub,,Salix drummondiana / Mesic Forbs Wet Shrubland
32,salix drummondiana,56,60.87,shrub,92,Salix drummondiana / Mesic Forbs Wet Shrubland
32,alnus incana ssp. tenuifolia,26,28.26,shrub,92,Salix drummondiana / Mesic Forbs Wet Shrubland
32,mertensia ciliata var. ciliata,12,100,herbaceous,12,Salix drummondiana / Mesic Forbs Wet Shrubland
32,salix boothii,10,10.87,shrub,92,Salix drummondiana / Mesic Forbs Wet Shrubland
32,mesic forb,6,50,shrub,,Salix drummondiana / Mesic Forbs Wet Shrubland
33,mesic shrub,55,57.895,herbaceous,,Cornus sericea / Heracleum maximum Wet Shrubland
33,salix drummondiana,50,52.63,shrub,95,Cornus sericea / Heracleum maximum Wet Shrubland
33,cornus sericea ssp. sericea,20,21.05,shrub,95,Cornus sericea / Heracleum maximum Wet Shrubland
33,heracleum maximum,10,100,herbaceous,10,Cornus sericea / Heracleum maximum Wet Shrubland
33,lonicera involucrata,10,10.53,shrub,95,Cornus sericea / Heracleum maximum Wet Shrubland
33,mesic forb,5,50,herbaceous,,Cornus sericea / Heracleum maximum Wet Shrubland
34,populus angustifolia,65,39.2,tree,165.8,Populus angustifolia Sand Dune Riparian Forest
34,acer negundo,50.3,30.34,tree,165.8,Populus angustifolia Sand Dune Riparian Forest
34,pseudotsuga menziesii var. glauca,21.2,12.79,tree,165.8,Populus angustifolia Sand Dune Riparian Forest
34,acer glabrum var. glabrum,10.2,6.15,tree,165.8,Populus angustifolia Sand Dune Riparian Forest
35,carex spp.,99,99,herbaceous,,Carex utriculata Marsh
35,carex utriculata,99,99,herbaceous,100,Carex utriculata Marsh
35,mesic graminoid,50.5,50.5,herbaceous,,Carex utriculata Marsh
35,glyceria striata,1,1,herbaceous,100,Carex utriculata Marsh
36,rhus trilobata,33,60,shrub,55,Populus angustifolia / Rhus trilobata Riparian Woodland
36,mesic shrub,31.5,57.27,tree,,Populus angustifolia / Rhus trilobata Riparian Woodland
36,populus angustifolia,27,81.82,tree,33,Populus angustifolia / Rhus trilobata Riparian Woodland
36,forestiera pubescens,15,27.27,shrub,55,Populus angustifolia / Rhus trilobata Riparian Woodland
37,mesic shrub,30,75,shrub,,Alnus incana / Cornus sericea Wet Shrubland
37,alnus incana ssp. tenuifolia,20,50,shrub,40,Alnus incana / Cornus sericea Wet Shrubland
37,cornus sericea ssp. sericea,10,25,shrub,40,Alnus incana / Cornus sericea Wet Shrubland
37,salix geyeriana,10,25,shrub,40,Alnus incana / Cornus sericea Wet Shrubland
37,populus angustifolia,3,14.29,tree,21,Alnus incana / Cornus sericea Wet Shrubland
38,mesic shrub,73.5,73.5,tree,,Pinus edulis - Juniperus osteosperma / Mixed Shrubs Talus Woodland
38,populus angustifolia,30,37.5,tree,80,Pinus edulis - Juniperus osteosperma / Mixed Shrubs Talus Woodland
38,picea pungens,25,31.25,tree,80,Pinus edulis - Juniperus osteosperma / Mixed Shrubs Talus Woodland
38,cornus sericea ssp. sericea,20,20,shrub,100,Pinus edulis - Juniperus osteosperma / Mixed Shrubs Talus Woodland
38,alnus incana ssp. tenuifolia,16,16,shrub,100,Pinus edulis - Juniperus osteosperma / Mixed Shrubs Talus Woodland
38,acer glabrum var. glabrum,15,18.75,tree,80,Pinus edulis - Juniperus osteosperma / Mixed Shrubs Talus Woodland
38,lonicera involucrata,15,15,shrub,100,Pinus edulis - Juniperus osteosperma / Mixed Shrubs Talus Woodland
38,abies lasiocarpa,10,12.5,tree,80,Pinus edulis - Juniperus osteosperma / Mixed Shrubs Talus Woodland
38,ribes inerme,10,10,shrub,100,Pinus edulis - Juniperus osteosperma / Mixed Shrubs Talus Woodland
39,alnus incana ssp. tenuifolia,30,75,shrub,40,Alnus incana / Calamagrostis canadensis Wet Shrubland
39,populus tremuloides,30,60,tree,50,Alnus incana / Calamagrostis canadensis Wet Shrubland
39,calamagrostis canadensis,20,66.67,herbaceous,30,Alnus incana / Calamagrostis canadensis Wet Shrubland
39,pinus contorta var. latifolia,20,40,tree,50,Alnus incana / Calamagrostis canadensis Wet Shrubland
